PartNumber ServiceType,Windows PartNumber,Windows ProductServiceType,Linux PartNumber,Linux ProductServiceType
997-03469 - US East - Standard_D3_v2,997-03469,Virtual Machines Dv2/DSv2 Series Windows - D3 v2/DS3 v2  - US East - Standard_D3_v2,997-03445,Virtual Machines Dv2/DSv2 Series - D3 v2/DS3 v2  - US East - Standard_D3_v2
997-01468 - EU West - Standard_DS4,997-01468,Virtual Machines D/DS Series Windows - D4/DS4 - EU West - Standard_DS4,997-01432,Virtual Machines D/DS Series - D4/DS4 - EU West - Standard_DS4
997-02622 - US East 2 - Standard_D3_v2,997-02622,Virtual Machines Dv2/DSv2 Series Windows - D3 v2/DS3 v2  - US East 2 - Standard_D3_v2,997-02614,Virtual Machines Dv2/DSv2 Series - D3 v2/DS3 v2  - US East 2 - Standard_D3_v2
AAA-96796 - US Central - Standard_F8s_v2,AAA-96796,Virtual Machines FSv2 Series Windows - F8s v2 - US Central - Standard_F8s_v2,AAA-96777,Virtual Machines FSv2 Series - F8s v2  - US Central
N7H-09585 - US East 2 - Standard_DS15_v2,N7H-09585,Virtual Machines Dv2/DSv2 Series Windows - D15 v2/DS15 v2  - US East 2 - Standard_DS15_v2,N7H-09611,Virtual Machines Dv2/DSv2 Series - D15 v2/DS15 v2  - US East 2
997-03425 - US East - Standard_D2_v2,997-03425,Virtual Machines Dv2/DSv2 Series Windows - D2 v2/DS2 v2  - US East - Standard_D2_v2,997-03401,Virtual Machines Dv2/DSv2 Series - D2 v2/DS2 v2  - US East
997-02556 - US West - Standard_DS13_v2,997-02556,Virtual Machines Dv2/DSv2 Series Windows - D13 v2/DS13 v2  - US West,997-02550,Virtual Machines Dv2/DSv2 Series - D13 v2/DS13 v2  - US West
997-00924 - US East - Standard_D2,997-00924,Virtual Machines D/DS Series Windows - D2/DS2  - US East,997-01280,Virtual Machines D/DS Series - D2/DS2  - US East
997-03455 - EU West - Standard_D3_v2,997-03455,Virtual Machines Dv2/DSv2 Series Windows - D3 v2/DS3 v2  - EU West,997-03443,Virtual Machines Dv2/DSv2 Series - D3 v2/DS3 v2  - EU West
AAA-57351 - EU West - Standard_F4s_v2,AAA-57351,Virtual Machines FSv2 Series Windows - F4s v2  - EU West,AAA-57343,Virtual Machines FSv2 Series - F4s v2  - EU West
997-02534 - US West - Standard_DS12_v2,997-02534,Virtual Machines Dv2/DSv2 Series Windows - D12 v2/DS12 v2  - US West,997-02528,Virtual Machines Dv2/DSv2 Series - D12 v2/DS12 v2  - US West
997-01952 - US East - Standard_D1,997-01952,Virtual Machines D/DS Series Windows - D1/DS1  - US East,997-01908,Virtual Machines D/DS Series - D1/DS1  - US East
997-02172 - US East 2 - Standard_DS14,997-02172,Virtual Machines D/DS Series Windows - D14/DS14  - US East 2,997-02374,Virtual Machines D/DS Series - D14/DS14  - US East 2
997-03499 - EU West - Standard_DS4_v2,997-03499,Virtual Machines Dv2/DSv2 Series Windows - D4 v2/DS4 v2  - EU West,997-03477,Virtual Machines Dv2/DSv2 Series - D4 v2/DS4 v2  - EU West
997-01354 - US East - Standard_D3,997-01354,Virtual Machines D/DS Series Windows - D3/DS3  - US East,997-01310,Virtual Machines D/DS Series - D3/DS3  - US East
997-03288 - US East - Standard_D1_v2,997-03288,Virtual Machines Dv2/DSv2 Series Windows - D1 v2/DS1 v2  - US East,997-03274,Virtual Machines Dv2/DSv2 Series - D1 v2/DS1 v2  - US East
997-02626 - US West - Standard_DS3_v2,997-02626,Virtual Machines Dv2/DSv2 Series Windows - D3 v2/DS3 v2  - US West,997-02616,Virtual Machines Dv2/DSv2 Series - D3 v2/DS3 v2  - US West
997-02834 - US West - Standard_D1_v2,997-02834,Virtual Machines Dv2/DSv2 Series Windows - D1 v2/DS1 v2  - US West,997-02824,Virtual Machines Dv2/DSv2 Series - D1 v2/DS1 v2  - US West
AAA-45141 - US East - Standard_D16s_v3,AAA-45141,Virtual Machines Dv3/DSv3 Series Windows - D16 v3/D16s v3  - US East,AAA-45092,Virtual Machines Dv3/DSv3 Series - D16 v3/D16s v3  - US East 2
AAA-96844 - US West - Standard_F8s_v2,AAA-96844,Virtual Machines FSv2 Series Windows - F8s v2  - US West,AAA-96836,Virtual Machines FSv2 Series - F8s v2  - US West
